region,year,value
Kazakhstan,2000,14901641
Kazakhstan,2001,14865610
Kazakhstan,2002,14851059
Kazakhstan,2003,14866837
Kazakhstan,2004,14951200
Kazakhstan,2005,15074767
Kazakhstan,2006,15219291
Kazakhstan,2007,15396878
Kazakhstan,2008,15571506
Kazakhstan,2009,15982370
Kazakhstan,2010,16203274
Kazakhstan,2011,16440470
Kazakhstan,2012,16673933
Kazakhstan,2013,16910246
Kazakhstan,2014,17160855
Kazakhstan,2015,17415715
Kazakhstan,2016,17669896
Kazakhstan,2017,17918214
Kazakhstan,2018,18157337
Kazakhstan,2019,18395567
Kazakhstan,2020,18631779
Kazakhstan,2021,18879552
Akmola_region,2000,799179
Akmola_region,2001,776377
Akmola_region,2002,755000
Akmola_region,2003,748167
Akmola_region,2004,748930
Akmola_region,2005,747185
Akmola_region,2006,746652
Akmola_region,2007,748559
Akmola_region,2008,747447
Akmola_region,2009,738827
Akmola_region,2010,735134
Akmola_region,2011,733281
Akmola_region,2012,731399
Akmola_region,2013,732768
Akmola_region,2014,735612
Akmola_region,2015,736560
Akmola_region,2016,744420
Akmola_region,2017,734369
Akmola_region,2018,738942
Akmola_region,2019,738587
Akmola_region,2020,736735
Akmola_region,2021,735566
Aktobe_region,2000,677715
Aktobe_region,2001,670231
Aktobe_region,2002,668166
Aktobe_region,2003,668378
Aktobe_region,2004,671812
Aktobe_region,2005,678607
Aktobe_region,2006,686698
Aktobe_region,2007,695454
Aktobe_region,2008,703660
Aktobe_region,2009,756782
Aktobe_region,2010,763591
Aktobe_region,2011,777501
Aktobe_region,2012,786390
Aktobe_region,2013,795871
Aktobe_region,2014,808985
Aktobe_region,2015,822557
Aktobe_region,2016,834808
Aktobe_region,2017,845679
Aktobe_region,2018,857711
Aktobe_region,2019,869637
Aktobe_region,2020,881651
Aktobe_region,2021,894333
Almaty_region,2000,1557141
Almaty_region,2001,1554320
Almaty_region,2002,1554573
Almaty_region,2003,1560267
Almaty_region,2004,1571194
Almaty_region,2005,1589751
Almaty_region,2006,1603758
Almaty_region,2007,1620696
Almaty_region,2008,1643278
Almaty_region,2009,1804005
Almaty_region,2010,1836162
Almaty_region,2011,1872844
Almaty_region,2012,1908785
Almaty_region,2013,1946831
Almaty_region,2014,1984572
Almaty_region,2015,1921888
Almaty_region,2016,1947552
Almaty_region,2017,1983465
Almaty_region,2018,2017278
Almaty_region,2019,2038935
Almaty_region,2020,2055724
Almaty_region,2021,2077967
Atyrau_region,2000,441692
Atyrau_region,2001,443630
Atyrau_region,2002,447634
Atyrau_region,2003,451928
Atyrau_region,2004,457215
Atyrau_region,2005,463466
Atyrau_region,2006,472384
Atyrau_region,2007,480687
Atyrau_region,2008,490369
Atyrau_region,2009,509123
Atyrau_region,2010,520988
Atyrau_region,2011,532033
Atyrau_region,2012,542959
Atyrau_region,2013,555199
Atyrau_region,2014,567831
Atyrau_region,2015,581389
Atyrau_region,2016,594511
Atyrau_region,2017,607528
Atyrau_region,2018,620684
Atyrau_region,2019,633791
Atyrau_region,2020,645280
Atyrau_region,2021,657110
West_Kazakhstan_region,2000,609161
West_Kazakhstan_region,2001,601648
West_Kazakhstan_region,2002,600330
West_Kazakhstan_region,2003,602133
West_Kazakhstan_region,2004,603832
West_Kazakhstan_region,2005,606534
West_Kazakhstan_region,2006,609291
West_Kazakhstan_region,2007,612479
West_Kazakhstan_region,2008,615310
West_Kazakhstan_region,2009,598342
West_Kazakhstan_region,2010,603858
West_Kazakhstan_region,2011,608334
West_Kazakhstan_region,2012,612581
West_Kazakhstan_region,2013,617735
West_Kazakhstan_region,2014,624085
West_Kazakhstan_region,2015,630056
West_Kazakhstan_region,2016,636980
West_Kazakhstan_region,2017,641513
West_Kazakhstan_region,2018,646927
West_Kazakhstan_region,2019,652325
West_Kazakhstan_region,2020,656844
West_Kazakhstan_region,2021,661316
Zhambyl_region,2000,986144
Zhambyl_region,2001,981928
Zhambyl_region,2002,979199
Zhambyl_region,2003,980072
Zhambyl_region,2004,985552
Zhambyl_region,2005,992089
Zhambyl_region,2006,1001094
Zhambyl_region,2007,1009210
Zhambyl_region,2008,1018845
Zhambyl_region,2009,1020796
Zhambyl_region,2010,1034487
Zhambyl_region,2011,1046260
Zhambyl_region,2012,1055822
Zhambyl_region,2013,1069785
Zhambyl_region,2014,1084369
Zhambyl_region,2015,1098489
Zhambyl_region,2016,1110749
Zhambyl_region,2017,1115307
Zhambyl_region,2018,1117218
Zhambyl_region,2019,1125440
Zhambyl_region,2020,1130099
Zhambyl_region,2021,1139192
Karaganda_region,2000,1390454
Karaganda_region,2001,1364781
Karaganda_region,2002,1344244
Karaganda_region,2003,1333656
Karaganda_region,2004,1330927
Karaganda_region,2005,1331702
Karaganda_region,2006,1334438
Karaganda_region,2007,1339368
Karaganda_region,2008,1342081
Karaganda_region,2009,1341207
Karaganda_region,2010,1346822
Karaganda_region,2011,1352217
Karaganda_region,2012,1357969
Karaganda_region,2013,1362777
Karaganda_region,2014,1369658
Karaganda_region,2015,1378121
Karaganda_region,2016,1384810
Karaganda_region,2017,1382734
Karaganda_region,2018,1380537
Karaganda_region,2019,1378532
Karaganda_region,2020,1376882
Karaganda_region,2021,1375938
Kostanay_region,2000,988787
Kostanay_region,2001,959274
Kostanay_region,2002,935717
Kostanay_region,2003,919558
Kostanay_region,2004,913435
Kostanay_region,2005,907396
Kostanay_region,2006,903178
Kostanay_region,2007,900333
Kostanay_region,2008,894192
Kostanay_region,2009,886329
Kostanay_region,2010,883379
Kostanay_region,2011,881656
Kostanay_region,2012,879635
Kostanay_region,2013,880116
Kostanay_region,2014,880968
Kostanay_region,2015,881569
Kostanay_region,2016,883806
Kostanay_region,2017,879134
Kostanay_region,2018,875616
Kostanay_region,2019,872795
Kostanay_region,2020,868549
Kostanay_region,2021,864550
Kyzylorda_region,2000,598526
Kyzylorda_region,2001,599738
Kyzylorda_region,2002,600972
Kyzylorda_region,2003,603804
Kyzylorda_region,2004,607491
Kyzylorda_region,2005,612048
Kyzylorda_region,2006,618249
Kyzylorda_region,2007,625070
Kyzylorda_region,2008,632234
Kyzylorda_region,2009,677734
Kyzylorda_region,2010,689011
Kyzylorda_region,2011,700511
Kyzylorda_region,2012,712899
Kyzylorda_region,2013,726692
Kyzylorda_region,2014,739726
Kyzylorda_region,2015,753001
Kyzylorda_region,2016,765058
Kyzylorda_region,2017,773143
Kyzylorda_region,2018,783157
Kyzylorda_region,2019,794335
Kyzylorda_region,2020,803531
Kyzylorda_region,2021,814588
Mangistau_region,2000,315203
Mangistau_region,2001,319191
Mangistau_region,2002,328265
Mangistau_region,2003,338612
Mangistau_region,2004,349668
Mangistau_region,2005,361754
Mangistau_region,2006,374430
Mangistau_region,2007,390531
Mangistau_region,2008,407403
Mangistau_region,2009,482631
Mangistau_region,2010,503241
Mangistau_region,2011,524185
Mangistau_region,2012,545789
Mangistau_region,2013,567770
Mangistau_region,2014,587431
Mangistau_region,2015,606843
Mangistau_region,2016,626774
Mangistau_region,2017,642824
Mangistau_region,2018,660317
Mangistau_region,2019,678199
Mangistau_region,2020,698796
Mangistau_region,2021,719571
Pavlodar_region,2000,790774
Pavlodar_region,2001,772453
Pavlodar_region,2002,758154
Pavlodar_region,2003,748651
Pavlodar_region,2004,745238
Pavlodar_region,2005,743826
Pavlodar_region,2006,742911
Pavlodar_region,2007,744860
Pavlodar_region,2008,746454
Pavlodar_region,2009,742276
Pavlodar_region,2010,744395
Pavlodar_region,2011,746224
Pavlodar_region,2012,747167
Pavlodar_region,2013,749201
Pavlodar_region,2014,752914
Pavlodar_region,2015,755793
Pavlodar_region,2016,758594
Pavlodar_region,2017,757014
Pavlodar_region,2018,754854
Pavlodar_region,2019,753853
Pavlodar_region,2020,752169
Pavlodar_region,2021,751012
North_Kazakhstan_region,2000,713628
North_Kazakhstan_region,2001,702623
North_Kazakhstan_region,2002,691263
North_Kazakhstan_region,2003,682148
North_Kazakhstan_region,2004,674497
North_Kazakhstan_region,2005,665936
North_Kazakhstan_region,2006,663126
North_Kazakhstan_region,2007,660950
North_Kazakhstan_region,2008,653921
North_Kazakhstan_region,2009,597534
North_Kazakhstan_region,2010,592791
North_Kazakhstan_region,2011,589421
North_Kazakhstan_region,2012,583772
North_Kazakhstan_region,2013,579700
North_Kazakhstan_region,2014,575945
North_Kazakhstan_region,2015,571830
North_Kazakhstan_region,2016,569594
North_Kazakhstan_region,2017,563300
North_Kazakhstan_region,2018,558584
North_Kazakhstan_region,2019,554517
North_Kazakhstan_region,2020,548755
North_Kazakhstan_region,2021,543735
Turkestan_region,2000,2005023
Turkestan_region,2001,2051351
Turkestan_region,2002,2079506
Turkestan_region,2003,2111893
Turkestan_region,2004,2150256
Turkestan_region,2005,2193556
Turkestan_region,2006,2233568
Turkestan_region,2007,2282474
Turkestan_region,2008,2331505
Turkestan_region,2009,2462782
Turkestan_region,2010,2511580
Turkestan_region,2011,2567611
Turkestan_region,2012,2621472
Turkestan_region,2013,2678739
Turkestan_region,2014,2733053
Turkestan_region,2015,2787906
Turkestan_region,2016,2840871
Turkestan_region,2017,1966336
Turkestan_region,2018,1977028
Turkestan_region,2019,1983969
Turkestan_region,2020,2016037
Turkestan_region,2021,2044742
East_Kazakhstan_region,2000,1516785
East_Kazakhstan_region,2001,1499097
East_Kazakhstan_region,2002,1482550
East_Kazakhstan_region,2003,1465931
East_Kazakhstan_region,2004,1455412
East_Kazakhstan_region,2005,1442097
East_Kazakhstan_region,2006,1431180
East_Kazakhstan_region,2007,1424513
East_Kazakhstan_region,2008,1417384
East_Kazakhstan_region,2009,1396871
East_Kazakhstan_region,2010,1398073
East_Kazakhstan_region,2011,1398078
East_Kazakhstan_region,2012,1395060
East_Kazakhstan_region,2013,1394068
East_Kazakhstan_region,2014,1394388
East_Kazakhstan_region,2015,1395466
East_Kazakhstan_region,2016,1396019
East_Kazakhstan_region,2017,1389568
East_Kazakhstan_region,2018,1383745
East_Kazakhstan_region,2019,1378527
East_Kazakhstan_region,2020,1369597
East_Kazakhstan_region,2021,1363797
Astana,2000,380990
Astana,2001,440209
Astana,2002,493062
Astana,2003,501998
Astana,2004,510533
Astana,2005,529335
Astana,2006,550438
Astana,2007,574448
Astana,2008,602684
Astana,2009,605254
Astana,2010,649152
Astana,2011,697162
Astana,2012,742868
Astana,2013,778145
Astana,2014,814419
Astana,2015,852803
Astana,2016,872584
Astana,2017,972692
Astana,2018,1030577
Astana,2019,1078384
Astana,2020,1136156
Astana,2021,1184411
Almaty,2000,1130439
Almaty,2001,1128759
Almaty,2002,1132424
Almaty,2003,1149641
Almaty,2004,1175208
Almaty,2005,1209485
Almaty,2006,1247896
Almaty,2007,1287246
Almaty,2008,1324739
Almaty,2009,1361877
Almaty,2010,1390610
Almaty,2011,1413152
Almaty,2012,1449366
Almaty,2013,1474849
Almaty,2014,1506899
Almaty,2015,1641444
Almaty,2016,1702766
Almaty,2017,1751308
Almaty,2018,1801993
Almaty,2019,1854656
Almaty,2020,1916822
Almaty,2021,1977258
Shymkent,2000,
Shymkent,2001,
Shymkent,2002,
Shymkent,2003,
Shymkent,2004,
Shymkent,2005,
Shymkent,2006,
Shymkent,2007,
Shymkent,2008,
Shymkent,2009,
Shymkent,2010,
Shymkent,2011,
Shymkent,2012,
Shymkent,2013,
Shymkent,2014,
Shymkent,2015,
Shymkent,2016,
Shymkent,2017,912300
Shymkent,2018,952169
Shymkent,2019,1009085
Shymkent,2020,1038152
Shymkent,2021,1074466
